order_year,product_name,current_sales,avg_saels,py_sales,diff_avg,diff_cu_py_sales
2023,Mountain-100 Silver- 48,122400,122400,NULL,No change,No py
2023,Mountain-200 Black- 38,4098,430853,NULL,Below avg,No py
2024,Mountain-200 Black- 38,342921,430853,4098,Below avg,Increase
2025,Mountain-200 Black- 38,945540,430853,342921,Above avg,Increase
2024,Mountain-200 Black- 42,392343,681564,NULL,Below avg,No py
2025,Mountain-200 Black- 42,970785,681564,392343,Above avg,Increase
2023,Mountain-200 Black- 46,2049,457818,NULL,Below avg,No py
2024,Mountain-200 Black- 46,423570,457818,2049,Below avg,Increase
2025,Mountain-200 Black- 46,947835,457818,423570,Above avg,Increase
2024,Mountain-200 Silver- 38,371954,669697,NULL,Below avg,No py
2025,Mountain-200 Silver- 38,967440,669697,371954,Above avg,Increase
2023,Mountain-200 Silver- 42,2071,419122,NULL,Below avg,No py
2024,Mountain-200 Silver- 42,352817,419122,2071,Below avg,Increase
2025,Mountain-200 Silver- 42,902480,419122,352817,Above avg,Increase
2024,Mountain-200 Silver- 46,377669,649354,NULL,Below avg,No py
2025,Mountain-200 Silver- 46,921040,649354,377669,Above avg,Increase
2025,Mountain-400-W Silver- 38,113812,113812,NULL,No change,No py
2024,Mountain-400-W Silver- 40,769,49216,NULL,Below avg,No py
2025,Mountain-400-W Silver- 40,97663,49216,769,Above avg,Increase
2025,Mountain-400-W Silver- 42,99201,99201,NULL,No change,No py
2025,Mountain-400-W Silver- 46,106122,106122,NULL,No change,No py
2024,Mountain-500 Black- 40,540,12960,NULL,Below avg,No py
2025,Mountain-500 Black- 40,25380,12960,540,Above avg,Increase
2025,Mountain-500 Black- 42,26460,26460,NULL,No change,No py
2025,Mountain-500 Black- 44,31320,31320,NULL,No change,No py
2025,Mountain-500 Black- 48,30240,30240,NULL,No change,No py
2025,Mountain-500 Black- 52,22140,22140,NULL,No change,No py
2025,Mountain-500 Silver- 40,25425,25425,NULL,No change,No py
2025,Mountain-500 Silver- 42,25425,25425,NULL,No change,No py
2024,Mountain-500 Silver- 44,565,11017,NULL,Below avg,No py
2025,Mountain-500 Silver- 44,21470,11017,565,Above avg,Increase
2025,Mountain-500 Silver- 48,28250,28250,NULL,No change,No py
2025,Mountain-500 Silver- 52,27120,27120,NULL,No change,No py
2024,Patch Kit/8 Patches,8,2126,NULL,Below avg,No py
2025,Patch Kit/8 Patches,6048,2126,8,Above avg,Increase
2026,Patch Kit/8 Patches,322,2126,6048,Below avg,Decrease
2024,Racing Socks- L,18,810,NULL,Below avg,No py
2025,Racing Socks- L,2340,810,18,Above avg,Increase
2026,Racing Socks- L,72,810,2340,Below avg,Decrease
2025,Racing Socks- M,2529,1341,NULL,Above avg,No py
2026,Racing Socks- M,153,1341,2529,Below avg,Decrease
2024,Road Bottle Cage,81,5133,NULL,Below avg,No py
2025,Road Bottle Cage,15237,5133,81,Above avg,Increase
2026,Road Bottle Cage,81,5133,15237,Below avg,Decrease
2024,Road Tire Tube,28,3166,NULL,Below avg,No py
2025,Road Tire Tube,8888,3166,28,Above avg,Increase
2026,Road Tire Tube,584,3166,8888,Below avg,Decrease
2022,Road-150 Red- 44,3578,502709,NULL,Below avg,No py
2023,Road-150 Red- 44,1001840,502709,3578,Above avg,Increase
2022,Road-150 Red- 48,7156,602893,NULL,Below avg,No py
2023,Road-150 Red- 48,1198630,602893,7156,Above avg,Increase
2022,Road-150 Red- 52,3578,540278,NULL,Below avg,No py
2023,Road-150 Red- 52,1076978,540278,3578,Above avg,Increase
2022,Road-150 Red- 56,3578,527755,NULL,Below avg,No py
2023,Road-150 Red- 56,1051932,527755,3578,Above avg,Increase
2022,Road-150 Red- 62,7156,601104,NULL,Below avg,No py
2023,Road-150 Red- 62,1195052,601104,7156,Above avg,Increase
2023,Road-250 Black- 44,6546,209461,NULL,Below avg,No py
2024,Road-250 Black- 44,279818,209461,6546,Above avg,Increase
2025,Road-250 Black- 44,342020,209461,279818,Above avg,Increase
2024,Road-250 Black- 48,310105,345606,NULL,Below avg,No py
2025,Road-250 Black- 48,381108,345606,310105,Above avg,Increase
2023,Road-250 Black- 52,4364,244808,NULL,Below avg,No py
2024,Road-250 Black- 52,378269,244808,4364,Above avg,Increase
2025,Road-250 Black- 52,351792,244808,378269,Above avg,Decrease
2023,Road-250 Black- 58,2182,207342,NULL,Below avg,No py
2024,Road-250 Black- 58,316912,207342,2182,Above avg,Increase
2025,Road-250 Black- 58,302932,207342,316912,Above avg,Decrease
2023,Road-250 Red- 44,4886,175896,NULL,Below avg,No py
2024,Road-250 Red- 44,346906,175896,4886,Above avg,Increase
2023,Road-250 Red- 48,7329,197883,NULL,Below avg,No py
2024,Road-250 Red- 48,388437,197883,7329,Above avg,Increase
2023,Road-250 Red- 52,2443,162459,NULL,Below avg,No py
2024,Road-250 Red- 52,322476,162459,2443,Above avg,Increase
2023,Road-250 Red- 58,6546,234222,NULL,Below avg,No py
2024,Road-250 Red- 58,376087,234222,6546,Above avg,Increase
2025,Road-250 Red- 58,320033,234222,376087,Above avg,Decrease
2024,Road-350-W Yellow- 40,1701,209223,NULL,Below avg,No py
2025,Road-350-W Yellow- 40,416745,209223,1701,Above avg,Increase
2024,Road-350-W Yellow- 42,5103,199867,NULL,Below avg,No py
2025,Road-350-W Yellow- 42,394632,199867,5103,Above avg,Increase
2025,Road-350-W Yellow- 44,367416,367416,NULL,No change,No py
2024,Road-350-W Yellow- 48,1701,197316,NULL,Below avg,No py
2025,Road-350-W Yellow- 48,392931,197316,1701,Above avg,Increase
2023,Road-550-W Yellow- 38,1000,97920,NULL,Below avg,No py
2024,Road-550-W Yellow- 38,71000,97920,1000,Below avg,Increase
2025,Road-550-W Yellow- 38,221760,97920,71000,Above avg,Increase
2024,Road-550-W Yellow- 40,68120,144940,NULL,Below avg,No py
2025,Road-550-W Yellow- 40,221760,144940,68120,Above avg,Increase
2023,Road-550-W Yellow- 42,1000,111480,NULL,Below avg,No py
2024,Road-550-W Yellow- 42,68000,111480,1000,Below avg,Increase
2025,Road-550-W Yellow- 42,265440,111480,68000,Above avg,Increase
2024,Road-550-W Yellow- 44,78120,156100,NULL,Below avg,No py
2025,Road-550-W Yellow- 44,234080,156100,78120,Above avg,Increase
2024,Road-550-W Yellow- 48,74240,141840,NULL,Below avg,No py
2025,Road-550-W Yellow- 48,209440,141840,74240,Above avg,Increase
2023,Road-650 Black- 44,14679,23782,NULL,Below avg,No py
2024,Road-650 Black- 44,32886,23782,14679,Above avg,Increase
2023,Road-650 Black- 48,11883,22776,NULL,Below avg,No py
2024,Road-650 Black- 48,33669,22776,11883,Above avg,Increase
2023,Road-650 Black- 52,23067,33457,NULL,Below avg,No py
2024,Road-650 Black- 52,43848,33457,23067,Above avg,Increase
2023,Road-650 Black- 58,12582,28998,NULL,Below avg,No py
2024,Road-650 Black- 58,45414,28998,12582,Above avg,Increase
2023,Road-650 Black- 60,19572,28578,NULL,Below avg,No py
2024,Road-650 Black- 60,37584,28578,19572,Above avg,Increase
2022,Road-650 Black- 62,699,16349,NULL,Below avg,No py
2023,Road-650 Black- 62,14679,16349,699,Below avg,Increase
2024,Road-650 Black- 62,33669,16349,14679,Above avg,Increase
2023,Road-650 Red- 44,15378,27264,NULL,Below avg,No py
2024,Road-650 Red- 44,39150,27264,15378,Above avg,Increase
2023,Road-650 Red- 48,18957,33360,NULL,Below avg,No py
2024,Road-650 Red- 48,47763,33360,18957,Above avg,Increase
2022,Road-650 Red- 52,699,15361,NULL,Below avg,No py
2023,Road-650 Red- 52,14064,15361,699,Below avg,Increase
2024,Road-650 Red- 52,31320,15361,14064,Above avg,Increase
2023,Road-650 Red- 58,13281,28173,NULL,Below avg,No py
2024,Road-650 Red- 58,43065,28173,13281,Above avg,Increase
2023,Road-650 Red- 60,11883,20035,NULL,Below avg,No py
2024,Road-650 Red- 60,28188,20035,11883,Above avg,Increase
2023,Road-650 Red- 62,11967,28690,NULL,Below avg,No py
2024,Road-650 Red- 62,45414,28690,11967,Above avg,Increase
2024,Road-750 Black- 44,1620,97200,NULL,Below avg,No py
2025,Road-750 Black- 44,192780,97200,1620,Above avg,Increase
2024,Road-750 Black- 48,1080,98010,NULL,Below avg,No py
2025,Road-750 Black- 48,194940,98010,1080,Above avg,Increase
2024,Road-750 Black- 52,2160,104220,NULL,Below avg,No py
2025,Road-750 Black- 52,206280,104220,2160,Above avg,Increase
2024,Road-750 Black- 58,1080,90180,NULL,Below avg,No py
2025,Road-750 Black- 58,179280,90180,1080,Above avg,Increase
2024,Short-Sleeve Classic Jersey- L,108,6732,NULL,Below avg,No py
2025,Short-Sleeve Classic Jersey- L,19764,6732,108,Above avg,Increase
2026,Short-Sleeve Classic Jersey- L,324,6732,19764,Below avg,Decrease
2024,Short-Sleeve Classic Jersey- M,54,7326,NULL,Below avg,No py
2025,Short-Sleeve Classic Jersey- M,20790,7326,54,Above avg,Increase
2026,Short-Sleeve Classic Jersey- M,1134,7326,20790,Below avg,Decrease
2024,Short-Sleeve Classic Jersey- S,54,7308,NULL,Below avg,No py
2025,Short-Sleeve Classic Jersey- S,21384,7308,54,Above avg,Increase
2026,Short-Sleeve Classic Jersey- S,486,7308,21384,Below avg,Decrease
2025,Short-Sleeve Classic Jersey- XL,21168,11043,NULL,Above avg,No py
2026,Short-Sleeve Classic Jersey- XL,918,11043,21168,Below avg,Decrease
2024,Sport-100 Helmet- Black,210,24325,NULL,Below avg,No py
2025,Sport-100 Helmet- Black,69895,24325,210,Above avg,Increase
2026,Sport-100 Helmet- Black,2870,24325,69895,Below avg,Decrease
2024,Sport-100 Helmet- Blue,350,24791,NULL,Below avg,No py
2025,Sport-100 Helmet- Blue,71050,24791,350,Above avg,Increase
2026,Sport-100 Helmet- Blue,2975,24791,71050,Below avg,Decrease
2024,Sport-100 Helmet- Red,350,26016,NULL,Below avg,No py
2025,Sport-100 Helmet- Red,75145,26016,350,Above avg,Increase
2026,Sport-100 Helmet- Red,2555,26016,75145,Below avg,Decrease
2024,Touring Tire,58,9038,NULL,Below avg,No py
2025,Touring Tire,25607,9038,58,Above avg,Increase
2026,Touring Tire,1450,9038,25607,Below avg,Decrease
2024,Touring Tire Tube,10,2478,NULL,Below avg,No py
2025,Touring Tire Tube,7010,2478,10,Above avg,Increase
2026,Touring Tire Tube,415,2478,7010,Below avg,Decrease
2024,Touring-1000 Blue- 46,4768,210984,NULL,Below avg,No py
2025,Touring-1000 Blue- 46,417200,210984,4768,Above avg,Increase
2024,Touring-1000 Blue- 50,2384,178800,NULL,Below avg,No py
2025,Touring-1000 Blue- 50,355216,178800,2384,Above avg,Increase
2025,Touring-1000 Blue- 54,381440,381440,NULL,No change,No py
2024,Touring-1000 Blue- 60,2384,175224,NULL,Below avg,No py
2025,Touring-1000 Blue- 60,348064,175224,2384,Above avg,Increase
2025,Touring-1000 Yellow- 46,410048,410048,NULL,No change,No py
2024,Touring-1000 Yellow- 50,4768,179992,NULL,Below avg,No py
2025,Touring-1000 Yellow- 50,355216,179992,4768,Above avg,Increase
2025,Touring-1000 Yellow- 54,376672,376672,NULL,No change,No py
2025,Touring-1000 Yellow- 60,333760,333760,NULL,No change,No py
2024,Touring-2000 Blue- 46,2430,58927,NULL,Below avg,No py
2025,Touring-2000 Blue- 46,115425,58927,2430,Above avg,Increase
2024,Touring-2000 Blue- 50,1215,64395,NULL,Below avg,No py
2025,Touring-2000 Blue- 50,127575,64395,1215,Above avg,Increase
2025,Touring-2000 Blue- 54,106920,106920,NULL,No change,No py
2024,Touring-2000 Blue- 60,1215,49207,NULL,Below avg,No py
2025,Touring-2000 Blue- 60,97200,49207,1215,Above avg,Increase
2025,Touring-3000 Blue- 44,39326,39326,NULL,No change,No py
2025,Touring-3000 Blue- 50,35616,35616,NULL,No change,No py
2024,Touring-3000 Blue- 54,742,20405,NULL,Below avg,No py
2025,Touring-3000 Blue- 54,40068,20405,742,Above avg,Increase
2025,Touring-3000 Blue- 58,42294,42294,NULL,No change,No py
2025,Touring-3000 Blue- 62,47488,47488,NULL,No change,No py
2025,Touring-3000 Yellow- 44,43778,43778,NULL,No change,No py
2025,Touring-3000 Yellow- 50,43778,43778,NULL,No change,No py
2025,Touring-3000 Yellow- 54,35616,35616,NULL,No change,No py
2024,Touring-3000 Yellow- 58,1484,17437,NULL,Below avg,No py
2025,Touring-3000 Yellow- 58,33390,17437,1484,Above avg,Increase
2025,Touring-3000 Yellow- 62,37100,37100,NULL,No change,No py
2024,Water Bottle - 30 oz.,90,7081,NULL,Below avg,No py
2025,Water Bottle - 30 oz.,20425,7081,90,Above avg,Increase
2026,Water Bottle - 30 oz.,730,7081,20425,Below avg,Decrease
2025,Women's Mountain Shorts- L,23800,12705,NULL,Above avg,No py
2026,Women's Mountain Shorts- L,1610,12705,23800,Below avg,Decrease
2025,Women's Mountain Shorts- M,23380,12320,NULL,Above avg,No py
2026,Women's Mountain Shorts- M,1260,12320,23380,Below avg,Decrease
2025,Women's Mountain Shorts- S,20230,10640,NULL,Above avg,No py
2026,Women's Mountain Shorts- S,1050,10640,20230,Below avg,Decrease
